44,CopY/TcrY family copper transport repressor [Streptococcus sp. F0442],177,177,98%,3.00E-55,66%,WP_009731653.1
45,CopY/TcrY family copper transport repressor [Streptococcus sp. HMSC065C01],179,179,98%,7.00E-56,66%,WP_070595499.1
46,CopY/TcrY family copper transport repressor [Streptococcus sp. HMSC072C09],180,180,98%,5.00E-56,66%,WP_070675363.1
47,CopY/TcrY family copper transport repressor [Streptococcus sp. HMSC078D09],178,178,98%,3.00E-55,66%,WP_070586872.1
48,CopY/TcrY family copper transport repressor [Streptococcus sp. oral taxon 056],176,176,98%,1.00E-54,66%,WP_009754649.1
49,CopY/TcrY family copper transport repressor [Streptococcus vestibularis],179,179,98%,1.00E-55,66%,WP_003097211.1
50,Negative transcriptional regulator-copper transport operon [Streptococcus sp. HSISS2],177,177,98%,4.00E-55,66%,EQC75652.1
51,Negative transcriptional regulator-copper transport operon [Streptococcus sp. HSISS3],178,178,98%,2.00E-55,66%,EQC74739.1
52,CopY/TcrY family copper transport repressor [Streptococcus sp. DD10],172,172,98%,6.00E-53,61%,WP_067195375.1
53,CopY/TcrY family copper transport repressor [Streptococcus sp. DD13],162,162,98%,4.00E-49,57%,WP_067102413.1
54,CopY/TcrY family copper transport repressor [Weissella halotolerans],128,128,98%,1.00E-35,50%,WP_022790997.1
55,CopY/TcrY family copper transport repressor [Firmicutes bacterium ZOR0006],138,138,98%,2.00E-39,47%,WP_052180015.1
56,CopY/TcrY family copper transport repressor [Streptococcus mutans],124,124,96%,5.00E-34,46%,WP_050588851.1
57,CopY/TcrY family copper transport repressor [Streptococcus sp. DD12],130,130,98%,5.00E-36,44%,WP_066913937.1
58,CopY/TcrY family copper transport repressor [Clostridium sp. Marseille-P299],119,119,96%,1.00E-31,43%,WP_066716942.1
59,CopY/TcrY family copper transport repressor [Enterococcus sp. 6C8_DIV0013],113,113,96%,1.00E-29,43%,WP_086341417.1
60,CopY/TcrY family copper transport repressor [Streptococcus equinus],120,120,98%,2.00E-32,43%,WP_039695930.1
61,CopY/TcrY family copper transport repressor [Streptococcus ferus],119,119,98%,1.00E-31,43%,WP_018030946.1
62,CopY/TcrY family copper transport repressor [Streptococcus henryi],115,115,97%,2.00E-30,43%,WP_074486531.1
63,CopY/TcrY family copper transport repressor [Streptococcus orisratti],116,116,97%,1.00E-30,43%,WP_018375652.1
64,CopY/TcrY family copper transport repressor [Enterococcus sp. 9E7_DIV0242],112,112,97%,5.00E-29,42%,WP_086349747.1
65,CopY/TcrY family copper transport repressor [Streptococcus pantholopis],118,118,98%,1.00E-31,42%,WP_067060272.1
66,CopY/TcrY family copper transport repressor [Enterococcus timonensis],122,122,96%,3.00E-33,41%,WP_071131162.1
67,CopY/TcrY family copper transport repressor [Trichococcus patagoniensis],113,113,96%,2.00E-29,41%,WP_108033676.1
68,CopY/TcrY family copper transport repressor [Vagococcus martis],105,105,96%,2.00E-26,41%,WP_079345433.1
69,CopY/TcrY family copper transport repressor [Streptococcus devriesei],115,115,96%,3.00E-30,41%,WP_027974994.1
70,CopY/TcrY family copper transport repressor [Streptococcus lutetiensis],113,113,98%,1.00E-29,41%,WP_020916265.1
71,CopY/TcrY family copper transport repressor [Enterococcus moraviensis],108,108,98%,1.00E-27,40%,WP_010766023.1
72,CopY/TcrY family copper transport repressor [Lactobacillus acidophilus],103,103,96%,2.00E-25,40%,WP_003549441.1
73,CopY/TcrY family copper transport repressor [Lactobacillus kitasatonis],100,100,96%,1.00E-24,40%,WP_025014286.1
74,CopY/TcrY family copper transport repressor [Pediococcus parvulus],103,103,98%,2.00E-25,40%,WP_057784609.1
75,CopY/TcrY family copper transport repressor [Sedimentibacter sp. SX930],109,109,96%,7.00E-28,40%,WP_086627056.1
76,CopY/TcrY family copper transport repressor [Trichococcus alkaliphilus],110,110,96%,2.00E-28,40%,WP_106448831.1
77,CopY/TcrY family copper transport repressor [Trichococcus collinsii],111,111,96%,1.00E-28,40%,WP_086987681.1
78,CopY/TcrY family copper transport repressor [Trichococcus paludicola],109,109,96%,8.00E-28,40%,WP_107995026.1
79,CopY/TcrY family copper transport repressor [Trichococcus pasteurii],112,112,96%,5.00E-29,40%,WP_086942343.1
80,CopY/TcrY family copper transport repressor [Streptococcus gallolyticus],115,115,98%,2.00E-30,40%,WP_009853450.1
81,CopY/TcrY family copper transport repressor [Streptococcus infantarius],116,116,98%,7.00E-31,40%,WP_006531123.1
82,CopY/TcrY family copper transport repressor [Streptococcus macedonicus],112,112,98%,3.00E-29,40%,WP_101774321.1
83,CopY/TcrY family copper transport repressor [Streptococcus orisasini],106,106,98%,9.00E-27,40%,WP_057489900.1
84,CopY/TcrY family copper transport repressor [Streptococcus sp. Z15],113,113,98%,2.00E-29,40%,PVU79809.1
85,CopY/TcrY family copper transport repressor [Enterococcus canis],112,112,98%,6.00E-29,39%,WP_067391355.1
86,CopY/TcrY family copper transport repressor [Enterococcus haemoperoxidus],104,104,99%,5.00E-26,39%,WP_010762782.1
87,CopY/TcrY family copper transport repressor [Enterococcus rivorum],110,110,99%,2.00E-28,39%,WP_069697777.1
88,CopY/TcrY family copper transport repressor [Enterococcus saccharolyticus],102,102,98%,3.00E-25,39%,WP_016176184.1
89,CopY/TcrY family copper transport repressor [Enterococcus sp. 12C11_DIV0727],105,105,99%,3.00E-26,39%,WP_086443873.1
90,CopY/TcrY family copper transport repressor [Enterococcus sp. TR],108,108,99%,1.00E-27,39%,WP_025873587.1
91,CopY/TcrY family copper transport repressor [Enterococcus termitis],108,108,99%,1.00E-27,39%,WP_086346607.1
92,CopY/TcrY family copper transport repressor [Fastidiosipila sanguinis],110,110,96%,2.00E-28,39%,WP_106012654.1
93,CopY/TcrY family copper transport repressor [Helcococcus sueciensis],111,111,96%,9.00E-29,39%,WP_027348119.1
94,CopY/TcrY family copper transport repressor [Lactobacillus algidus],108,108,98%,8.00E-28,39%,WP_057974119.1
95,CopY/TcrY family copper transport repressor [Lactobacillus pentosus],106,106,98%,7.00E-27,39%,WP_105919981.1
96,CopY/TcrY family copper transport repressor [Listeria aquatica],108,108,100%,1.00E-27,39%,WP_036070646.1
97,CopY/TcrY family copper transport repressor [Salinicoccus kekensis],97.4,97.4,96%,4.00E-23,39%,WP_097039576.1
98,CopY/TcrY family copper transport repressor [Trichococcus flocculiformis],107,107,96%,3.00E-27,39%,WP_086990636.1
99,CopY/TcrY family copper transport repressor [Vagococcus teuberi],104,104,96%,6.00E-26,39%,WP_071456487.1
100,CopY/TcrY family copper transport repressor [Streptococcus caballi],113,113,98%,1.00E-29,39%,WP_018365430.1
101,CopY/TcrY family copper transport repressor [Streptococcus iniae],111,111,96%,7.00E-29,39%,WP_071127574.1
102,CopY/TcrY family copper transport repressor [Streptococcus macacae],119,119,96%,6.00E-32,39%,WP_003079944.1
103,CopY/TcrY family copper transport repressor [Streptococcus sp. ACS2],113,113,99%,2.00E-29,39%,WP_037599213.1
104,CopY/TcrY family copper transport repressor [Streptococcus sp. HMSC078H12],112,112,99%,3.00E-29,39%,WP_070655486.1
105,CopY/TcrY family copper transport repressor [Streptococcus thermophilus],114,114,99%,6.00E-30,39%,WP_084826111.1
106,CopAB ATPases metal-fist type repressor [Chlamydia trachomatis],107,107,96%,3.00E-27,38%,CRH87149.1
107,CopY/TcrY family copper transport repressor [Anaerococcus hydrogenalis],109,109,96%,8.00E-28,38%,WP_102197750.1
108,CopY/TcrY family copper transport repressor [Anaerococcus prevotii],109,109,96%,4.00E-28,38%,WP_004834135.1
109,CopY/TcrY family copper transport repressor [Anaerococcus sp. Marseille-P3915],109,109,96%,5.00E-28,38%,WP_106461534.1
110,CopY/TcrY family copper transport repressor [Bacillus aquimaris],103,103,97%,1.00E-25,38%,WP_071620107.1
111,CopY/TcrY family copper transport repressor [Bacillus sp. AFS015802],97.1,97.1,97%,5.00E-23,38%,WP_098349982.1
112,CopY/TcrY family copper transport repressor [Desemzia incerta],103,103,97%,8.00E-26,38%,WP_092481125.1
113,CopY/TcrY family copper transport repressor [Enterococcus cecorum],101,101,96%,7.00E-25,38%,WP_087403364.1
114,CopY/TcrY family copper transport repressor [Enterococcus faecalis],106,106,96%,6.00E-27,38%,WP_010815901.1
115,CopY/TcrY family copper transport repressor [Enterococcus faecium],104,104,98%,4.00E-26,38%,WP_002332954.1
116,CopY/TcrY family copper transport repressor [Enterococcus plantarum],100,100,98%,1.00E-24,38%,WP_069653956.1
117,CopY/TcrY family copper transport repressor [Enterococcus silesiacus],105,105,97%,3.00E-26,38%,WP_071878922.1
118,CopY/TcrY family copper transport repressor [Enterococcus sp. 9D6_DIV0238],106,106,96%,9.00E-27,38%,WP_087642207.1
119,CopY/TcrY family copper transport repressor [Enterococcus ureasiticus],102,102,98%,6.00E-25,38%,WP_069645703.1
120,CopY/TcrY family copper transport repressor [Enterococcus ureilyticus],102,102,98%,3.00E-25,38%,WP_069639013.1
121,CopY/TcrY family copper transport repressor [Enterococcus wangshanyuanii],108,108,96%,1.00E-27,38%,WP_088271181.1
122,CopY/TcrY family copper transport repressor [Fusobacterium nucleatum],108,108,96%,1.00E-27,38%,WP_088387544.1
123,CopY/TcrY family copper transport repressor [Fusobacterium periodonticum],108,108,96%,1.00E-27,38%,WP_005967408.1
124,CopY/TcrY family copper transport repressor [Globicatella sanguinis],109,109,97%,7.00E-28,38%,WP_066126721.1
125,CopY/TcrY family copper transport repressor [Helcococcus kunzii],105,105,96%,2.00E-26,38%,WP_005399365.1
126,CopY/TcrY family copper transport repressor [Lachnoanaerobaculum saburreum],108,108,96%,1.00E-27,38%,WP_034773625.1
127,CopY/TcrY family copper transport repressor [Lachnospiraceae bacterium oral taxon 500],108,108,96%,1.00E-27,38%,WP_009219461.1
128,CopY/TcrY family copper transport repressor [Lactobacillus allii],106,106,98%,9.00E-27,38%,WP_076613783.1
129,CopY/TcrY family copper transport repressor [Lactobacillus crispatus],100,100,96%,2.00E-24,38%,WP_005726655.1
130,CopY/TcrY family copper transport repressor [Lactobacillus fuchuensis],101,101,97%,1.00E-24,38%,WP_025083362.1
131,CopY/TcrY family copper transport repressor [Lactobacillus iners],107,107,96%,4.00E-27,38%,WP_006729495.1
132,CopY/TcrY family copper transport repressor [Lactobacillus suebicus],101,101,96%,1.00E-24,38%,WP_010621261.1
133,CopY/TcrY family copper transport repressor [Oribacterium sp. oral taxon 108],108,108,96%,9.00E-28,38%,WP_009427951.1
134,CopY/TcrY family copper transport repressor [Peptoniphilus harei],105,105,96%,1.00E-26,38%,WP_005957813.1
135,CopY/TcrY family copper transport repressor [Streptobacillus felis],107,107,96%,5.00E-27,38%,WP_067321958.1
136,CopY/TcrY family copper transport repressor [Tissierellia bacterium S5-A11],105,105,96%,1.00E-26,38%,WP_034437376.1
137,CopY/TcrY family copper transport repressor [Tissierellia bacterium S7-1-4],106,106,96%,1.00E-26,38%,WP_034546793.1
138,CopY/TcrY family copper transport repressor [Vagococcus fluvialis],110,110,96%,2.00E-28,38%,WP_086950583.1
139,CopY/TcrY family copper transport repressor [Vagococcus penaei],98.2,98.2,90%,8.00E-24,38%,WP_077276909.1
140,CopY/TcrY family copper transport repressor [Veillonella parvula],105,105,96%,1.00E-26,38%,WP_004693769.1
141,CopY/TcrY family copper transport repressor [Veillonella rogosae],108,108,96%,2.00E-27,38%,WP_054748080.1
142,CopY/TcrY family copper transport repressor [Veillonella sp. HPA0037],105,105,96%,1.00E-26,38%,WP_016475989.1
143,CopY/TcrY family copper transport repressor [Veillonella sp. S13053-19],105,105,96%,1.00E-26,38%,WP_105097755.1
144,CopY/TcrY family copper transport repressor [Veillonella sp. T14073-2],105,105,96%,2.00E-26,38%,WP_105085251.1
145,MULTISPECIES: CopY/TcrY family copper transport repressor [Bacilli],106,106,96%,7.00E-27,38%,WP_002379040.1
146,CopY/TcrY family copper transport repressor [Streptococcus phocae],113,113,99%,1.00E-29,38%,WP_054278762.1
147,CopY/TcrY family copper transport repressor [Streptococcus porci],110,110,99%,1.00E-28,38%,WP_027973809.1
148,CopY/TcrY family copper transport repressor [Streptococcus pyogenes],110,110,100%,1.00E-28,38%,WP_009880939.1
149,CopY/TcrY family copper transport repressor [Streptococcus sp. CCH5-D3],111,111,99%,7.00E-29,38%,WP_060971735.1
150,CopY/TcrY family copper transport repressor [Streptococcus sp. HMSC064H09],112,112,99%,5.00E-29,38%,WP_070575510.1
151,CopY/TcrY family copper transport repressor [Streptococcus suis],106,106,96%,8.00E-27,38%,WP_044681364.1
152,CopY/TcrY family copper transport repressor [Streptococcus uberis],105,105,97%,2.00E-26,38%,WP_037625667.1
153,"copper transport repressor, CopY/TcrY family [Lactobacillus plantarum subsp. plantarum ATCC 14917 = JCM 1149 = CGMCC 1.2437]",103,103,98%,2.00E-25,37%,EFK28233.1
154,CopY/TcrY family copper transport repressor [Aerococcus christensenii],108,108,96%,2.00E-27,37%,WP_060777060.1
155,CopY/TcrY family copper transport repressor [Aerococcus suis],106,106,96%,1.00E-26,37%,WP_084097689.1
156,CopY/TcrY family copper transport repressor [Anaerococcus tetradius],105,105,96%,3.00E-26,37%,WP_004836956.1
157,CopY/TcrY family copper transport repressor [Bacillus sp. es.034],97.4,97.4,97%,4.00E-23,37%,WP_098439094.1
158,CopY/TcrY family copper transport repressor [Bacillus thermoamylovorans],100,100,97%,3.00E-24,37%,WP_041844923.1
159,CopY/TcrY family copper transport repressor [Bacillus vietnamensis],97.4,97.4,97%,3.00E-23,37%,WP_082386332.1
160,CopY/TcrY family copper transport repressor [Carnobacterium gallinarum],103,103,98%,2.00E-25,37%,WP_034564525.1
161,CopY/TcrY family copper transport repressor [Carnobacterium iners],108,108,98%,8.00E-28,37%,WP_085559079.1
162,CopY/TcrY family copper transport repressor [Clostridioides mangenotii],106,106,96%,1.00E-26,37%,WP_024620862.1
163,CopY/TcrY family copper transport repressor [Dialister micraerophilus],105,105,96%,2.00E-26,37%,WP_007556285.1
164,CopY/TcrY family copper transport repressor [Enterococcus quebecensis],102,102,97%,5.00E-25,37%,WP_069635296.1
165,CopY/TcrY family copper transport repressor [Enterococcus sp. HMSC072F02],114,114,98%,8.00E-30,37%,WP_070872099.1
166,CopY/TcrY family copper transport repressor [Eremococcus coleocola],107,107,96%,6.00E-27,37%,WP_006419107.1
167,CopY/TcrY family copper transport repressor [Exiguobacterium mexicanum],100,100,96%,1.00E-24,37%,WP_034781861.1
168,CopY/TcrY family copper transport repressor [Gardnerella vaginalis],105,105,96%,2.00E-26,37%,WP_041160491.1
169,CopY/TcrY family copper transport repressor [Granulicatella elegans ATCC 700633],104,104,96%,6.00E-26,37%,EEW93072.2
170,CopY/TcrY family copper transport repressor [Granulicatella elegans],104,104,96%,6.00E-26,37%,WP_006703336.1
171,CopY/TcrY family copper transport repressor [Ignavigranum ruoffiae],103,103,96%,9.00E-26,37%,WP_092572696.1
172,CopY/TcrY family copper transport repressor [Lactobacillus animalis],99,99,98%,8.00E-24,37%,WP_010688135.1
173,CopY/TcrY family copper transport repressor [Lactobacillus backii],104,104,98%,6.00E-26,37%,WP_100070782.1
174,CopY/TcrY family copper transport repressor [Lactobacillus bifermentans],102,102,99%,4.00E-25,37%,WP_057904577.1
175,CopY/TcrY family copper transport repressor [Lactobacillus ginsenosidimutans],107,107,98%,4.00E-27,37%,WP_048704267.1
176,CopY/TcrY family copper transport repressor [Lactobacillus gorillae],100,100,98%,2.00E-24,37%,WP_093626824.1
177,CopY/TcrY family copper transport repressor [Lactobacillus murinus],106,106,96%,8.00E-27,37%,WP_004050438.1
178,CopY/TcrY family copper transport repressor [Lactobacillus plantarum],104,104,98%,6.00E-26,37%,WP_085764707.1
179,CopY/TcrY family copper transport repressor [Lactobacillus rossiae],107,107,98%,3.00E-27,37%,WP_017261512.1
180,CopY/TcrY family copper transport repressor [Lactobacillus saniviri],102,102,97%,2.00E-25,37%,WP_054777717.1
181,CopY/TcrY family copper transport repressor [Lactobacillus selangorensis],98.2,98.2,98%,2.00E-23,37%,WP_057769383.1
182,CopY/TcrY family copper transport repressor [Lactobacillus siliginis],106,106,100%,6.00E-27,37%,WP_057809701.1
183,CopY/TcrY family copper transport repressor [Lactobacillus sp. BS-W1],97.4,97.4,98%,3.00E-23,37%,WP_109250208.1
184,CopY/TcrY family copper transport repressor [Leptotrichia shahii],108,108,96%,2.00E-27,37%,WP_018451027.1
185,CopY/TcrY family copper transport repressor [Listeria floridensis],102,102,100%,3.00E-25,37%,WP_036097657.1
186,CopY/TcrY family copper transport repressor [Peptoniphilus obesi],106,106,96%,1.00E-26,37%,WP_019132215.1
187,CopY/TcrY family copper transport repressor [Tetragenococcus solitarius],103,103,96%,1.00E-25,37%,WP_068710689.1
188,CopY/TcrY family copper transport repressor [Streptococcus entericus],107,107,98%,4.00E-27,37%,WP_018368736.1
189,CopY/TcrY family copper transport repressor [Streptococcus sp. CCH8-H5],108,108,99%,7.00E-28,37%,WP_060972595.1
190,CopY/TcrY family copper transport repressor [Aerococcus sp. 1KP-2016],105,105,96%,3.00E-26,36%,WP_094518290.1
191,CopY/TcrY family copper transport repressor [Aerococcus urinaeequi],104,104,96%,4.00E-26,36%,WP_069286685.1
192,CopY/TcrY family copper transport repressor [Aerococcus viridans],106,106,97%,9.00E-27,36%,WP_004262479.1
193,CopY/TcrY family copper transport repressor [Alkalibacterium pelagium],99.8,99.8,96%,5.00E-24,36%,WP_091482183.1
194,CopY/TcrY family copper transport repressor [Alkalibacterium thalassium],100,100,96%,1.00E-24,36%,WP_091268728.1
195,CopY/TcrY family copper transport repressor [Alloiococcus otitis],105,105,96%,2.00E-26,36%,WP_003778017.1
196,CopY/TcrY family copper transport repressor [Anaerococcus provencensis],107,107,96%,3.00E-27,36%,WP_044565423.1
197,CopY/TcrY family copper transport repressor [Anaerococcus senegalensis],106,106,96%,1.00E-26,36%,WP_040396929.1
198,CopY/TcrY family copper transport repressor [Atopococcus tabaci],105,105,96%,4.00E-26,36%,WP_028274707.1
199,CopY/TcrY family copper transport repressor [Bacillus subterraneus],97.4,97.4,98%,4.00E-23,36%,WP_044391419.1
200,CopY/TcrY family copper transport repressor [Carnobacterium divergens],97.8,97.8,97%,2.00E-23,36%,WP_034570161.1
201,CopY/TcrY family copper transport repressor [Carnobacterium maltaromaticum],110,110,98%,3.00E-28,36%,WP_057001137.1
202,CopY/TcrY family copper transport repressor [Carnobacterium sp. 1290_CSPC],105,105,96%,3.00E-26,36%,WP_048728488.1
203,CopY/TcrY family copper transport repressor [Dolosigranulum pigrum],105,105,96%,2.00E-26,36%,WP_004635953.1
204,CopY/TcrY family copper transport repressor [Enterococcus durans],101,101,98%,8.00E-25,36%,WP_104660175.1
205,CopY/TcrY family copper transport repressor [Enterococcus gallinarum],97.8,97.8,98%,3.00E-23,36%,WP_060815199.1
206,CopY/TcrY family copper transport repressor [Enterococcus sp. 4G2_DIV0659],103,103,97%,1.00E-25,36%,WP_086331322.1
207,CopY/TcrY family copper transport repressor [Exiguobacterium chiriqhucha],100,100,96%,3.00E-24,36%,WP_058765839.1
208,CopY/TcrY family copper transport repressor [Facklamia hominis],107,107,96%,5.00E-27,36%,WP_006908836.1
209,CopY/TcrY family copper transport repressor [Facklamia languida],100,100,96%,2.00E-24,36%,WP_006309264.1
210,CopY/TcrY family copper transport repressor [Facklamia sp. HMSC062C11],106,106,96%,1.00E-26,36%,WP_070609445.1
211,CopY/TcrY family copper transport repressor [Finegoldia magna],108,108,96%,1.00E-27,36%,WP_094223812.1
212,CopY/TcrY family copper transport repressor [Isobaculum melis],105,105,97%,2.00E-26,36%,WP_092653930.1
213,CopY/TcrY family copper transport repressor [Jeotgalibaca dankookensis],100,100,96%,3.00E-24,36%,WP_062532178.1
214,CopY/TcrY family copper transport repressor [Jeotgalibaca sp. PTS2502],108,108,97%,1.00E-27,36%,WP_076765238.1
215,CopY/TcrY family copper transport repressor [Jeotgalicoccus psychrophilus],100,100,100%,2.00E-24,36%,WP_026858900.1
216,CopY/TcrY family copper transport repressor [Lactobacillus amylolyticus],100,100,96%,2.00E-24,36%,WP_006352437.1
217,CopY/TcrY family copper transport repressor [Lactobacillus curvatus],102,102,96%,4.00E-25,36%,WP_039098966.1
218,CopY/TcrY family copper transport repressor [Lactobacillus dextrinicus],102,102,97%,4.00E-25,36%,WP_057756036.1
219,CopY/TcrY family copper transport repressor [Lactobacillus fermentum],99.4,99.4,98%,7.00E-24,36%,WP_096494055.1
220,CopY/TcrY family copper transport repressor [Lactobacillus gallinarum],101,101,96%,6.00E-25,36%,WP_025006090.1
221,CopY/TcrY family copper transport repressor [Lactobacillus kefiranofaciens],97.4,97.4,96%,3.00E-23,36%,WP_095342230.1
222,CopY/TcrY family copper transport repressor [Lactobacillus kunkeei],101,101,97%,7.00E-25,36%,WP_053791891.1
223,CopY/TcrY family copper transport repressor [Lactobacillus mixtipabuli],97.4,97.4,99%,3.00E-23,36%,WP_089109030.1
224,CopY/TcrY family copper transport repressor [Lactobacillus nodensis],99.4,99.4,98%,6.00E-24,36%,WP_025025346.1
225,CopY/TcrY family copper transport repressor [Lactobacillus pontis],97.1,97.1,98%,4.00E-23,36%,WP_057806276.1
226,CopY/TcrY family copper transport repressor [Lactobacillus rennini],103,103,99%,2.00E-25,36%,WP_057873051.1
227,CopY/TcrY family copper transport repressor [Lactobacillus sp. Marseille-P3519],108,108,98%,1.00E-27,36%,WP_076461478.1
228,CopY/TcrY family copper transport repressor [Lactobacillus sp. UMNPBX17],100,100,96%,2.00E-24,36%,WP_098045829.1
229,CopY/TcrY family copper transport repressor [Lactobacillus tucceti],99.8,99.8,98%,3.00E-24,36%,WP_057764885.1
230,CopY/TcrY family copper transport repressor [Lactobacillus versmoldensis],97.8,97.8,98%,2.00E-23,36%,WP_010625014.1
231,CopY/TcrY family copper transport repressor [Marinilactibacillus piezotolerans],107,107,97%,5.00E-27,36%,WP_091898587.1
232,CopY/TcrY family copper transport repressor [Salinicoccus sp. YB14-2],101,101,97%,7.00E-25,36%,WP_052256065.1
233,CopY/TcrY family copper transport repressor [Tetragenococcus halophilus],105,105,96%,4.00E-26,36%,WP_103891981.1
234,CopY/TcrY family copper transport repressor [Tetragenococcus muriaticus],102,102,98%,3.00E-25,36%,WP_038025745.1
235,CopY/TcrY family copper transport repressor [Thalassobacillus devorans],103,103,97%,1.00E-25,36%,WP_028784597.1
236,CopY/TcrY family copper transport repressor [Trichococcus palustris],105,105,96%,4.00E-26,36%,WP_087029595.1
237,CopY/TcrY family copper transport repressor [Vagococcus lutrae],97.8,97.8,96%,3.00E-23,36%,WP_023605559.1
238,CopY/TcrY family copper transport repressor [Weissella hellenica],100,100,96%,2.00E-24,36%,WP_042492010.1
239,CopY/TcrY family copper transport repressor [Weissella jogaejeotgali],108,108,96%,2.00E-27,36%,WP_075270383.1
